cidade;estado;populacao;idh;num familias bolsa famila
bandeira do sul;minas gerais;5330;0.692;121
bandeirante;santa catarina;3095;0.672;116
bandeirantes;mato grosso do sul;6001;0.727;1196
bandeirantes;parana;32994;0.681;356
bandeirantes do tocantins;tocantins;2807;0.638;311
bannach;para;3947;0.594;400
banzae;bahia;11157;0.579;2277
barao;rio grande do sul;5444;0.748;17
barao de antonina;sao paulo;2835;0.711;297
barao de cocais;minas gerais;28074;0.722;1598
barao de cotegipe;rio grande do sul;6724;0.719;115
barao de grajau;maranhao;17231;0.592;3462
barao de melgaco;mato grosso;7851;0.6;791
barao de monte alto;minas gerais;5700;0.649;572
barao do triunfo;rio grande do sul;7246;0.61;373
barauna;rio grande do norte;24347;0.574;3621
barauna;paraiba;4045;0.558;951
barbacena;minas gerais;128572;0.769;4704
barbalha;ceara;53011;0.683;6676
barbosa;sao paulo;6944;0.699;420
barbosa ferraz;parana;13995;0.696;799
barcarena;para;92567;0.662;14816
barcelona;rio grande do norte;4042;0.566;623
barcelos;amazonas;25410;0.5;2486
bariri;sao paulo;33267;0.75;704
barra;bahia;50226;0.557;8840
barra bonita;santa catarina;2120;0.788;922
barra bonita;sao paulo;36214;0.701;55
barra d'alcantara;piaui;3886;0.577;820
barra da estiva;bahia;20537;0.575;3767
barra de guabiraba;pernambuco;13623;0.577;2105
barra de santa rosa;paraiba;13273;0.562;2692
barra de santana;paraiba;8909;0.567;1231
barra de santo antonio;alagoas;14435;0.557;3811
barra de sao francisco;espirito santo;41645;0.683;2801
barra de sao miguel;paraiba;5624;0.572;1246
barra de sao miguel;alagoas;7572;0.615;1243
barra do bugres;mato grosso;34349;0.693;1773
barra do chapeu;sao paulo;5358;0.66;809
barra do choca;bahia;31527;0.551;5888
barra do corda;maranhao;81329;0.606;10842
barra do garcas;mato grosso;55120;0.748;3500
barra do guarita;rio grande do sul;3067;0.734;133
barra do jacare;parana;2860;0.744;154
barra do mendes;bahia;14459;0.63;2388
barra do ouro;tocantins;3691;0.603;458
barra do pirai;rio de janeiro;103833;0.733;4414
barra do quarai;rio grande do sul;3873;0.662;236
barra do ribeiro;rio grande do sul;11762;0.67;654
barra do rio azul;rio grande do sul;1978;0.723;15
barra do rocha;bahia;5860;0.577;928
barra do turvo;sao paulo;7699;0.641;665
barra dos coqueiros;sergipe;19998;0.649;2620
barra funda;rio grande do sul;2453;0.763;9
barra longa;minas gerais;7050;0.624;598
barra mansa;rio de janeiro;176899;0.729;6058
barra velha;santa catarina;19861;0.738;743
barracao;rio grande do sul;5401;0.706;568
barracao;parana;9267;0.71;355
barras;piaui;44913;0.595;9251
barreira;ceara;19469;0.616;3640
barreiras;bahia;137832;0.721;11640
barreiras do piaui;piaui;3485;0.557;761
barreirinha;amazonas;28162;0.574;5353
barreirinhas;maranhao;50354;0.57;11526
barreiros;pernambuco;43911;0.586;8721
barretos;sao paulo;113618;0.789;3081
barrinha;sao paulo;27169;0.725;1796
barro;ceara;21556;0.599;3228
barro alto;bahia;14172;0.607;2606
barro alto;goias;6714;0.742;774
barro duro;piaui;6853;0.612;1327
barro preto;bahia;6417;0.602;1379
barrocas;bahia;13868;0.61;2565
barrolandia;tocantins;5322;0.642;642
barroquinha;ceara;15558;0.571;2711
barros cassal;rio grande do sul;11879;0.65;525
barroso;minas gerais;20253;0.734;1881
barueri;sao paulo;270173;0.786;8857
bastos;sao paulo;21380;0.751;292
bataguassu;mato grosso do sul;19596;0.71;1582
batalha;alagoas;16919;0.545;5092
batalha;piaui;26681;0.594;3361
batatais;sao paulo;56476;0.761;1769
bataypora;mato grosso do sul;10885;0.684;924
baturite;ceara;33271;0.619;6095
bauru;sao paulo;359429;0.801;11905
bayeux;paraiba;96198;0.649;11334
bebedouro;sao paulo;77630;0.78;2489
beberibe;ceara;48760;0.638;9280
bela cruz;ceara;30900;0.623;4731
bela vista;mato grosso do sul;23726;0.698;1999
bela vista da caroba;parana;4176;0.681;237
bela vista de goias;goias;21679;0.716;1275
bela vista de minas;minas gerais;10333;0.674;632
bela vista do maranhao;maranhao;8855;0.554;2559
bela vista do paraiso;parana;15496;0.716;615
bela vista do piaui;piaui;3762;0.576;609
bela vista do toldo;santa catarina;6145;0.675;406
belagua;maranhao;5953;0.512;1808
belem;alagoas;5083;0.746;115677
belem;para;1437600;0.592;2537
belem;paraiba;17746;0.593;865
belem de maria;pernambuco;9703;0.578;2425
belem de sao francisco;pernambuco;21342;0.578;1267
belem do brejo do cruz;paraiba;7256;0.551;688
belem do piaui;piaui;2912;0.642;4409
belford roxo;rio de janeiro;501544;0.684;47821
belmiro braga;minas gerais;3079;0.66;194
belmonte;bahia;22553;0.598;3167
belmonte;santa catarina;2790;0.705;69
belo campo;bahia;15185;0.575;2730
belo horizonte;minas gerais;2452617;0.81;57995
belo jardim;pernambuco;74028;0.629;11526
belo monte;alagoas;7510;0.517;1359
belo oriente;minas gerais;22555;0.686;2501
belo vale;minas gerais;7470;0.655;382
belterra;para;12671;0.588;3032
beneditinos;piaui;9837;0.557;1842
benedito leite;maranhao;5567;0.546;1085
benedito novo;santa catarina;10335;0.74;55
benevides;para;46611;0.665;9517
benjamin constant;amazonas;31195;0.574;5159
benjamin constant do sul;rio grande do sul;2188;0.619;290
bento de abreu;sao paulo;2982;0.744;129
bento fernandes;rio grande do norte;5199;0.582;868
bento goncalves;rio grande do sul;106999;0.778;1544
bequimao;maranhao;21508;0.601;3528
berilo;minas gerais;13717;0.628;1125
berizal;minas gerais;4655;0.604;814
bernardino batista;paraiba;3315;0.558;560
bernardino de campos;sao paulo;10776;0.734;565
bernardo do mearim;maranhao;6249;0.604;894
bernardo sayao;tocantins;4653;0.638;430
bertioga;sao paulo;44233;0.73;3108
bertolinia;piaui;5484;0.612;993
bertopolis;minas gerais;4780;0.594;773
beruri;amazonas;14705;0.506;4497
betania;pernambuco;12011;0.559;2337
betania do piaui;piaui;6442;0.489;1303
betim;minas gerais;441748;0.749;24588
bezerros;pernambuco;58354;0.606;12089
bias fortes;minas gerais;3881;0.62;415
bicas;minas gerais;14309;0.744;691
biguacu;santa catarina;56395;0.739;1577
bilac;sao paulo;7494;0.768;201
biquinhas;minas gerais;2621;0.688;256
birigui;sao paulo;110911;0.78;2126
biritiba-mirim;sao paulo;29650;0.712;2095
biritinga;bahia;14260;0.538;3670
bituruna;parana;16803;0.667;1175
blumenau;santa catarina;299416;0.806;3425
boa esperanca;espirito santo;13119;0.704;1192
boa esperanca;parana;4742;0.679;1074
boa esperanca;minas gerais;39254;0.72;245
boa esperanca do iguacu;parana;2898;0.7;103
boa esperanca do sul;sao paulo;13953;0.681;813
boa hora;piaui;6369;0.575;1647
boa nova;bahia;15427;0.567;3020
boa ventura;paraiba;5905;0.599;1072
boa ventura de sao roque;parana;6964;0.655;538
boa viagem;ceara;56236;0.598;8854
boa vista;paraiba;5908;0.752;19980
boa vista;roraima;266901;0.649;774
boa vista da aparecida;parana;7919;0.67;684
boa vista das missoes;rio grande do sul;2100;0.676;108
boa vista do burica;rio grande do sul;6655;0.762;72
boa vista do cadeado;rio grande do sul;2525;0.703;77
boa vista do gurupi;maranhao;7895;0.545;1457
boa vista do incra;rio grande do sul;2583;0.731;116
boa vista do ramos;amazonas;13994;0.565;2335
boa vista do sul;rio grande do sul;2700;0.728;5
boa vista do tupim;bahia;18298;0.551;3952
boca da mata;alagoas;26030;0.604;3771
boca do acre;amazonas;31221;0.588;5230
bocaina;piaui;4146;0.632;630
bocaina;sao paulo;11028;0.742;373
bocaina de minas;minas gerais;5216;0.645;493
bocaina do sul;santa catarina;3128;0.647;172
bocaiuva;minas gerais;46624;0.7;5426
bocaiuva do sul;parana;9989;0.64;897
bodo;rio grande do norte;2592;0.629;537
bodoco;pernambuco;34988;0.565;7969
bodoquena;mato grosso do sul;8397;0.666;515
bofete;sao paulo;9375;0.705;412
boituva;sao paulo;44906;0.78;1694
bom conselho;pernambuco;45250;0.563;8049
bom despacho;minas gerais;44265;0.75;1392
bom jardim;pernambuco;40924;0.538;5669
bom jardim;rio de janeiro;26549;0.602;7856
